"date","value"
[2010-03-30,1.019047619047619]
[2010-03-31,1.0330188679245282]
[2010-04-01,1.0467836257309941]
[2010-04-02,1.0516129032258064]
[2010-04-03,1.0303030303030303]
[2010-04-04,1.0609756097560976]
[2010-04-05,1.1717791411042944]
[2010-04-06,1.0933333333333333]
[2010-04-07,1.0748663101604279]
[2010-04-08,1.0612244897959184]
[2010-04-09,1.0909090909090908]
[2010-04-10,1.203187250996016]
[2010-04-11,1.1888412017167382]
[2010-04-12,1.2028985507246377]
[2010-04-13,1.1373626373626373]
[2010-04-14,1.2087912087912087]
[2010-04-15,1.354066985645933]
[2010-04-16,1.1666666666666667]
[2010-04-17,1.1414141414141414]
[2010-04-18,12.709433962264152]
[2010-04-19,1.2133333333333334]
[2010-04-20,1.1979695431472082]
[2010-04-21,1.127659574468085]
[2010-04-22,1.2307692307692308]
[2010-04-23,1.3733333333333333]
[2010-04-24,1.1790123456790123]
[2010-04-25,1.2804878048780488]
[2010-04-26,1.2962962962962963]
[2010-04-27,1.3220338983050848]
[2010-04-28,1.2458100558659218]
[2010-04-29,1.2105263157894737]
[2010-04-30,1.1917808219178083]
[2010-05-01,1.1452513966480447]
[2010-05-02,1.1533742331288344]
[2010-05-03,1.2091503267973855]
[2010-05-04,1.288888888888889]
[2010-05-05,1.2]
[2010-05-06,1.1733333333333333]
[2010-05-07,1.1925925925925926]
[2010-05-08,1.1870967741935483]
[2010-05-09,1.3021582733812949]
[2010-05-10,1.1984732824427482]
[2010-05-11,1.188034188034188]
[2010-05-12,1.2583333333333333]
[2010-05-13,1.2857142857142858]
[2010-05-14,1.2459016393442623]
[2010-05-15,1.25]
[2010-05-16,1.1810344827586208]
[2010-05-17,1.218045112781955]
[2010-05-18,1.3508771929824561]
[2010-05-19,1.2654320987654322]
[2010-05-20,1.1785714285714286]
[2010-05-21,1.2634408602150538]
[2010-05-22,1.2085561497326203]
[2010-05-23,1.4532710280373833]
[2010-05-24,1.3333333333333333]
[2010-05-25,1.1900452488687783]
[2010-05-26,1.300469483568075]
[2010-05-27,1.4010416666666667]
